Ingredient,Description,"[obesity,heart,diabetes,cancer,gut]"
Aspartame,Aspartame is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sucralose,Sucralose is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Saccharin,Saccharin is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Red 40,Red 40 is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Yellow 5,Yellow 5 is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Yellow 6,Yellow 6 is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Blue 1,Blue 1 is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sodium benzoate,Sodium benzoate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Potassium sorbate,Potassium sorbate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
High fructose corn syrup,High fructose corn syrup is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Monosodium glutamate,Monosodium glutamate is a food additive that may have certain health risks when consumed in excess.,"[0,1,0,0,0]"
MSG,MSG is a food additive that may have certain health risks when consumed in excess.,"[0,1,0,0,0]"
Sodium nitrite,Sodium nitrite is a food additive that may have certain health risks when consumed in excess.,"[0,1,0,1,0]"
Potassium bromate,Potassium bromate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Titanium dioxide,Titanium dioxide is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Azodicarbonamide,Azodicarbonamide is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Propylparaben,Propylparaben is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Butylated hydroxyanisole,Butylated hydroxyanisole is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
BHA,BHA is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Butylated hydroxytoluene,Butylated hydroxytoluene is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
BHT,BHT is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,1,0]"
Azorubine,Azorubine is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Carrageenan,Carrageenan is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Sorbitol,Sorbitol is a food additive that may have certain health risks when consumed in excess.,"[1,0,1,0,1]"
Propylene glycol,Propylene glycol is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Polysorbate 80,Polysorbate 80 is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Carboxymethyl cellulose,Carboxymethyl cellulose is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
CMC,CMC is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Hydrogenated oils,Hydrogenated oils is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Trans fats,Trans fats is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Palm oil,Palm oil is a food additive that may have certain health risks when consumed in excess.,"[1,1,0,0,0]"
Vegetable oil (refined),Vegetable oil (refined) is a food additive that may have certain health risks when consumed in excess.,"[1,1,0,0,0]"
Canola oil,Canola oil is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Soybean oil,Soybean oil is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Corn syrup,Corn syrup is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Dextrose,Dextrose is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Glucose,Glucose is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Fructose,Fructose is a food additive that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Maltodextrin,Maltodextrin is a food additive that may have certain health risks when consumed in excess.,"[1,0,1,0,0]"
Modified starch,Modified starch is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Potato starch,Potato starch is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Corn starch,Corn starch is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Rice flour,Rice flour is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Barley malt extract,Barley malt extract is a food additive that may have certain health risks when consumed in excess.,"[1,0,1,0,0]"
Tapioca starch,Tapioca starch is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Yeast extract,Yeast extract is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Baking powder,Baking powder is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Calcium carbonate,Calcium carbonate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Calcium phosphate,Calcium phosphate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sodium bicarbonate,Sodium bicarbonate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Ammonium bicarbonate,Ammonium bicarbonate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Citric acid,Citric acid is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Tartaric acid,Tartaric acid is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Malic acid,Malic acid is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
